Cod. Municipio|Departamento|Municipio|Actividades primarias|Actividades secundarias|Actividades terciarias|Valor agregado 2022|Peso relativo municipal en el valor agregado departamental (%)|% Act. primarias municipio|% Act. secundarias municipio|% Act. terciarias municipio|Valor agregado 2021|Crecimiento 2022
05308|Antioquia|Girardota|153,0715383627446|2219,776667011545|1077,3068525829055|3450,155057957196|1,801876831064924|4,436656781836837|64,33846101762899|31,22488220053416|3018,9058361921866|14,284951077141027
05310|Antioquia|Gómez Plata|60,97354718876102|20,82557569052513|370,04718803622785|451,846310915514|0,23598110379505263|13,494311166382817|4,608995401186109|81,89669343243108|431,8153476298881|4,63877983855141
05313|Antioquia|Granada|31,10578249878157|5,730189796269822|92,28139399054722|129,11736628559862|0,06743279269769849|24,09109122469068|4,437969857280887|71,47093891802842|104,17830294872869|23,938826637580846
05315|Antioquia|Guadalupe|19,699293203782204|5,332051972100258|71,64529260722107|96,67663778310353|0,05049030863840999|20,376477353275426|5,515346928037414|74,10817571868716|78,18727752846593|23,64753044113361
05318|Antioquia|Guarne|100,42189455504234|862,0247374037665|818,6164198965724|1781,0630518553812|0,9301773960571403|5,6383121557897775|48,39945090690485|45,96223693730538|1478,0701305872976|20,499224968959506
05321|Antioquia|Guatapé|8,300193000329896|24,8377032397339|538,0660367204468|571,2039329605107|0,2983167757173525|1,4531050158059255|4,348307461925515|94,19858752226857|444,2320634039227|28,582328925937396
05347|Antioquia|Heliconia|31,07532735789903|4,138932611987123|57,68653668387967|92,90079665376584|0,04851833910821619|33,45001170841882|4,455217566553932|62,09477072502724|73,23598762830959|26,85129218883471
05353|Antioquia|Hispania|41,83880586959129|5,527716034324479|64,39740733331595|111,76392923723172|0,05836979244654169|37,434981174278185|4,945885557218796|57,61913326850302|84,69285665173473|31,963820392569687
05360|Antioquia|Itagüí|2,5231413249951995|4198,801552153624|6654,713148050824|10856,037841529444|5,669670706161827|0,023241825073075914|38,67710866013414|61,299649514792776|9330,84021566425|16,3457694121131
05361|Antioquia|Ituango|90,7796344574583|16,29644135040924|255,836572325424|362,91264813329155|0,18953463870084067|25,014183144180883|4,4904583607744195|70,49535849504468|292,87357577075124|23,914438910447778
05364|Antioquia|Jardín|129,0001384527538|18,922219837820663|241,17530735546032|389,0976656460348|0,20321001722286494|33,15366547845245|4,863102893820585|61,98323162772695|324,7782180106594|19,80411372084825
05368|Antioquia|Jericó|203,03396686150066|18,443866483882065|174,50537715448615|395,98321049986885|0,2068060595841402|51,27337762760219|4,657739518955735|44,06888285344208|313,3185789029752|26,383571598699305
05376|Antioquia|La Ceja|122,74937752329357|87,3059928835517|1017,2021397833245|1227,2575101901698|0,64094709838097|10,001925146440776|7,113909848473707|82,8841650050855|1027,3415833845693|19,459538097054253
05380|Antioquia|La Estrella|11,423299392400747|1415,0145585607495|1473,0543191839467|2899,4921771370973|1,514287818394668|0,39397586523857747|48,80215127732842|50,803872857433|2416,950357574059|19,964904039128673
05390|Antioquia|La Pintada|24,295388727615688|54,03520270440751|158,9663476984275|237,2969391304507|0,12393062036897227|10,238391113110664|22,771133459375303|66,99047542751403|176,17599241833406|34,69311900737504
05400|Antioquia|La Unión|84,62371866233292|43,421607163139846|302,6359815463265|430,6813073717992|0,22492747609595232|19,64880230784635|10,082073779360657|70,26912391279299|341,63986162560815|26,062955687462686
05411|Antioquia|Liborina|55,82516397663148|7,638498969073229|104,20472691269104|167,66838985839576|0,08756643742460822|33,294984238697936|4,555717971362592|62,149297789939475|133,01303922678915|26,054100284498215
05425|Antioquia|Maceo|62,044570809576584|7,951553077617588|102,23158679423791|172,2277106814321|0,08994758679859763|36,024731771729705|4,616883686229505|59,35838454204079|137,63432763100536|25,134269659216724
05440|Antioquia|Marinilla|427,2526729361259|684,935705703546|925,387639161282|2037,576017800954|1,0641437721882874|20,96867401282219|33,61522219145277|45,41610379572503|1572,109542727374|29,607763481039974
05467|Antioquia|Montebello|39,153080409690865|5,543333166526214|76,2894807077126|120,98589428392968|0,06318605283930627|32,36169029573516|4,581801208591409|63,056508495673434|94,2931581677745|28,30824275570576
05475|Antioquia|Murindó|4,610942705064276|2,580441874455539|53,96053792464905|61,151922504168866|0,031937182672764|7,540143492217988|4,219723221750918|88,2401332860311|52,733677989032365|15,96369689382815
05480|Antioquia|Mutatá|148,52796535878917|13,84827565282246|173,95467294357158|336,3309139551832|0,1756520710653387|44,1612588067301|4,117455481558193|51,721285711711715|239,56922154684503|40,389868023767605
05483|Antioquia|Nariño|50,83989671452323|14,632460553517467|104,46467985674393|169,93703712478464|0,08875126039009697|29,916901915379125|8,610518813960997|61,472579270659864|142,99209184755122|18,843661162716852
05490|Antioquia|Necoclí|333,98695466557314|39,23760871648162|509,51132495968454|882,7358883417393|0,4610173509402392|37,83543402692999|4,4449998277730955|57,719566145296916|677,3066814980516|30,33030862611956
05495|Antioquia|Nechí|58,558858213898404|16,034587141232063|277,39146266351503|351,9849080186455|0,18382752078941036|16,63675256519703|4,55547575363165|78,80777168117132|324,29509423591685|8,538462121349566
05501|Antioquia|Olaya|21,16003267130132|2,714274373519334|38,60004228841654|62,47434933323719|0,03262783286791428|33,86995286406913|4,344622076880605|61,78542505905027|48,997634203236|27,504828241505464
