Cod. Municipio|Departamento|Municipio|AÑO|Población municipio|Total Hombres|Total Mujeres|% mujeres municipio|% jóvenes municipio
13580|Bolívar|Regidor|2024|7562|3777|3785|50,052896059243594|25,85294895530283
13600|Bolívar|Río Viejo|2024|11534|6100|5434|47,11288364834403|23,63447199583839
13620|Bolívar|San Cristóbal|2024|8743|4382|4361|49,879903923138514|24,648290060619924
13647|Bolívar|San Estanislao|2024|19987|9973|10014|50,10256666833441|23,700405263421224
13650|Bolívar|San Fernando|2024|13841|7116|6725|48,58752980275992|23,574886207643956
13654|Bolívar|San Jacinto|2024|25904|13168|12736|49,16615194564546|24,208616429894995
13655|Bolívar|San Jacinto del Cauca|2024|11113|5872|5241|47,1609826329524|23,47700890848556
13657|Bolívar|San Juan Nepomuceno|2024|40335|20596|19739|48,93764720466097|23,632081318953762
13667|Bolívar|San Martín de Loba|2024|16079|8453|7626|47,42832265688165|24,398283475340506
13670|Bolívar|San Pablo|2024|29770|15105|14665|49,261001007725895|26,466241182398388
13673|Bolívar|Santa Catalina|2024|16039|7944|8095|50,47072760147141|25,21977679406447
13683|Bolívar|Santa Rosa|2024|22912|11200|11712|51,117318435754186|26,26134776536313
13688|Bolívar|Santa Rosa del Sur|2024|36114|18522|17592|48,71241069945174|29,160436395857563
13744|Bolívar|Simití|2024|20066|10542|9524|47,46337087610884|25,2068175022426
13760|Bolívar|Soplaviento|2024|11656|5721|5935|50,91798215511325|22,4691146190803
13780|Bolívar|Talaigua Nuevo|2024|13986|6987|6999|50,042900042900044|25,125125125125123
13810|Bolívar|Tiquisio|2024|19664|10305|9359|47,59458909682669|25,45260374288039
13836|Bolívar|Turbaco|2024|115544|57095|58449|50,58592397701308|24,56986083223707
13838|Bolívar|Turbaná|2024|17929|9139|8790|49,02671649283284|24,184282447431535
13873|Bolívar|Villanueva|2024|25971|13347|12624|48,60806283932078|25,65168842170113
13894|Bolívar|Zambrano|2024|12886|6869|6017|46,6940866056185|25,609188266335558
15001|Boyacá|Tunja|2024|187286|88641|98645|52,670781585382784|26,612774046111294
15022|Boyacá|Almeida|2024|2048|1079|969|47,314453125|15,72265625
15047|Boyacá|Aquitania|2024|16480|8444|8036|48,762135922330096|21,850728155339805
15051|Boyacá|Arcabuco|2024|6341|3171|3170|49,99211480838984|23,57672291436682
15087|Boyacá|Belén|2024|7987|3826|4161|52,097157881557536|21,82296231375986
15090|Boyacá|Berbeo|2024|1700|852|848|49,88235294117647|16,647058823529413
15092|Boyacá|Betéitiva|2024|2069|1015|1054|50,942484291928466|21,65297245045916
15097|Boyacá|Boavita|2024|5422|2718|2704|49,87089634821099|18,922906676503136
15104|Boyacá|Boyacá|2024|5448|2841|2607|47,852422907488986|20,356093979441997
15106|Boyacá|Briceño|2024|2317|1261|1056|45,57617608977126|19,07639188605956
15109|Boyacá|Buenavista|2024|4688|2440|2248|47,95221843003413|17,342150170648466
15114|Boyacá|Busbanzá|2024|1200|600|600|50,0|20,166666666666664
15131|Boyacá|Caldas|2024|3335|1653|1682|50,43478260869565|18,980509745127435
15135|Boyacá|Campohermoso|2024|3299|1682|1617|49,01485298575326|19,79387693240376
15162|Boyacá|Cerinza|2024|3945|1930|2015|51,07731305449936|22,15462610899873
15172|Boyacá|Chinavita|2024|3412|1678|1734|50,820633059788975|16,412661195779602
15176|Boyacá|Chiquinquirá|2024|60737|29096|31641|52,095098539605175|25,50010701878591
15180|Boyacá|Chiscas|2024|4195|2129|2066|49,24910607866508|20,262216924910607
15183|Boyacá|Chita|2024|8405|4322|4083|48,57822724568709|20,67816775728733
15185|Boyacá|Chitaraque|2024|6226|3225|3001|48,20109219402506|18,679730163829102
15187|Boyacá|Chivatá|2024|2995|1504|1491|49,782971619365604|21,569282136894824
15189|Boyacá|Ciénega|2024|4963|2462|2501|50,39290751561556|19,98791053798106
15204|Boyacá|Cómbita|2024|14040|8743|5297|37,72792022792022|21,41737891737892
15212|Boyacá|Coper|2024|3832|1996|1836|47,91231732776618|18,18893528183716
